description,unit,rate,Unnamed: 3
"['Providing and laying Damp proof course, 40mm thick with cement concrete 1:2:4 (1 cement: 2 coarse sand: 4 graded stone aggregate 12.5 nominal size) mixed with waterproofing compound as per manufacture recommendation and applying a coat of residual petroleum bitumen of penetration 80/100 of approved quality using 1.7 kg. per square meter on Damp Proof Course after cleaning the surface with brushes and finally with a piece of cloth lightly soaked in kerosene oil including necessary centering/ shuttering complete. (only on new wall / floor)']",Sqft,107.9,
"['Cinder Filling
Providing and laying cinder filling in sunken floors and other locations with approved  quality cinder including watering and light ramming etc. required for proper compaction/completion of the work in all respects as per drawing and as directed by Engineer']",cum,4695.6,
['Providing & laying PCC: plain cement concrete 1:2:4 (1 cement : 2 coarse sand : 4 graded stone aggregate 20mm nominal size).'],cum,7753.14,
"['IPS FLOORING: Providing and laying 40mm thick Cement Concrete 1:2:4 (1cement :2 coarse sand : 4 graded stone aggregate of 12.5mm nominal size) including and finished with a floating coat of neat cement including cement slurry, 40mm wide and 6mm thick.glass strip etc. complete in true lines and level as per specification and drawing.']",Sqft,84.5,
"['Cement Sand Leveling Screed: To provide and lay average 5-10mm thick top layer of 1:2:4 concrete cement finish to provide a finished horizontal surface, ready to receive floor finishes, tiles, carpets etc.']",Sqft,57.2,
"['M-15 Grade  (with minimum of 250 kg of cement per cu meter ) 
Providing and laying  Ready Mix Concrete (R M C) of specified grade procured from the approved supplier including laying in position at all levels, heights & depth in foundation & superstructure for RCC structural elements such as slab & beam of raft, bases of columns, beams, cantilevers, suspended floors, roofs  & mass concrete, screeding & PCC etc. But excluding the cost of centering shuttering and reinforcement.']",CuM,6355.7,
"['M-20 Grade  (with minimum of 360 kg of cement per cu meter ) 
Providing and laying  Ready Mix Concrete (R M C) of specified grade procured from the approved supplier including laying in position at all levels, heights & depth in foundation & superstructure for RCC structural elements such as slab & beam of raft, bases of columns, beams, cantilevers, suspended floors, roofs  & mass concrete, screeding & PCC etc. But excluding the cost of centering shuttering and reinforcement.']",CuM,517.34,
"['M-25 Grade  (with minimum of 330 kg of cement per cu meter ) 
Providing and laying  Ready Mix Concrete (R M C) of specified grade procured from the approved supplier including laying in position at all levels, heights & depth in foundation & superstructure for RCC structural elements such as slab & beam of raft, bases of columns, beams, cantilevers, suspended floors, roofs  & mass concrete, screeding & PCC etc. But excluding the cost of centering shuttering and reinforcement.']",CuM,7540.0,
"['M-30 Grade  (with minimum of 360 kg of cement per cu meter ) 
Providing and laying  Ready Mix Concrete (R M C) of specified grade procured from the approved supplier including laying in position at all levels, heights & depth in foundation & superstructure for RCC structural elements such as slab & beam of raft, bases of columns, beams, cantilevers, suspended floors, roofs  & mass concrete, screeding & PCC etc. But excluding the cost of centering shuttering and reinforcement.']",CuM,7909.2,
"['RCC: Reinforced cement concrete work cost of reinforcement only with 1:1.5:3 (1 cement: 1.5 coarse sand: 3 graded stone aggregate 20mm size) at all levels, heights and depths. column, staircase, lintel. Steel cost excluded.']",CuM,7540.0,
"['Centering and shuttering: including strutting, propping etc. and removal of form at all levels using PLY Formwork for all suspended slabs & beams i/c columns & Brackets for column, slab, staircase.']",Sqmt,468.0,
"['TMT Bars: Reinforcement for R.C.C. work including straightening, cutting, cleaning, bending, placing in position and binding complete (including the cost of binding wire) at all levels & heights. (Base rate: 60/kg)']",Ton,101.4,
"['RCC Lintels: Cast and Install 1:2:4  ( 1 cement; 2 coarse sand; 4 graded stone aggregate 20 mm nominal size) RCC lintel to span door openings, including the cost of shuttering, centering and steel reinforcement (8/10 mm dia)']",Rft,460.2,
"['Construction of Brick work 230mm: Providing and making of 230mm thk brick wall (first class bricks) in cement and sand mortar 1:3 with flush joint complete with material, Labour, scaffolding at all levels and lift , curing etc. Item not inclusive of plastering works.']",Sqft ,184.6,
"['Construction of Brick work 115mm: Providing and making of 115 thk single brick wall (first class bricks) in cement and sand mortar 1:3 with flush joint complete with material, Labour, scaffolding at all levels and lift , curing etc. Item not inclusive of plastering works.']",Sqft ,120.9,
"['Construction of Brick work for super structure: Providing and making of brick work (above plinth) in cement and sand mortar 1:4 with flush joint complete with material, Labour, and lift, curing etc. Item not inclusive of plastering works. Scaffolding cost to be charged separately. 230 mm thick']",Sqft ,313.88,
"['Cement plaster: Providing and application of 1:4 cement plaster to brick/RCC work in single layer of avg 3/4 "" thick  & laid plumb.']",Sqft ,36.4,
"['Water Proofing
Providing and laying 15mm thick mortar plaster (1:6- cement:snd) mortar admixed with integral waterproofing compund of approved makes as per instructions by engineer.']",Sqft ,80.0,
"['Cement plaster with chicken mesh: Providing and application cement plaster 1:4 cement- sand to existing wall / column / RCC structure. Including appropriate chicken wire mesh to the joints between, hacking where ever required.']",Sqft ,55.0,
"['Granite Stone for counter / Ledge / Window Cills: 
Providing and laying 20mm thick pre-polished Granite Stone Slabs on counters, shelves, cills, laid on a 20mm thick bed of 1:4 Cement Mortar (1 Cement : 4 Coarse Sand), jointed with cement slurry mixed with pigment to match the shade of granite including rounding off edges, edge-polishing etc. (Allow necessary cut-outs for fixing wash basin, pipes, waste couplings etc.) Base Rate- 150/-sft
(Granite polishing to be charged separately)
(anything less than 300mm depth will be calculated as 1 sqft']",Sqft,473.2,
"['Granite Stone for Facia: 
Providing and laying 20mm thick pre-polished Granite Stone Slabs facias, laid on a 20mm thick bed of 1:4 Cement Mortar (1 Cement : 4 Coarse Sand), jointed with cement slurry mixed with pigment to match the shade of granite including mirror polishing, rounding off edges, edge-polishing etc. (Allow necessary cut-outs for fixing wash basin, pipes, waste couplings etc.) Base Rate- 150/-sft']",Sqft,487.2,
"['Granite Stone flooring: 
Providing and laying in floors 20 mm thick pre-polished granite slabs over a bed of 40mm - 50 mm thick bedding mortar 1:4 (1 cement : 4 coarse sand) jointed with white cement slurry mixed with pigments as per approved color. Base Rate-150/sft-']",Sqft,396.2,
"['Vitrified floor tiles: 
Providing & fixing Vitrified tile of approved Colour, size and fixing in approved pattern: 
Laid over 30-50mm (average) thick base of cement mortar 1:4 (1 cement: 4 coarse sand) including grouting the joints with white cement and matching pigments, etc.
Inclusive of tile (Base Rate Rs. 60/sqft), inclusive of taxes. (600mm x 600mm)']",Sqft,189.0,
"['300 x 300
 Providing & fixing Vitrified tile of approved Colour, size and fixing in approved pattern: 
Laid over 30-50mm (average) thick base of cement mortar 1:4 (1 cement: 4 coarse sand) including grouting the joints with white cement and matching pigments, etc.
Inclusive of tile (Base Rate Rs. 60/sqft), inclusive of taxes.']",Sqft,175.0,
"['600 x 1200
Providing & fixing Vitrified tile of approved Colour, size and fixing in approved pattern: 
Laid over 30-50mm (average) thick base of cement mortar 1:4 (1 cement: 4 coarse sand) including grouting the joints with white cement and matching pigments, etc.
Inclusive of tile (Base Rate Rs. 60/sqft), inclusive of taxes. ']",Sqft,193.2,
"['1200 x 2400 
Providing & fixing Vitrified tile of approved Colour, size and fixing in approved pattern: 
Laid over 30-50mm (average) thick base of cement mortar 1:4 (1 cement: 4 coarse sand) including grouting the joints with white cement and matching pigments, etc.
Inclusive of tile (Base Rate Rs. 60/sqft), inclusive of taxes.']",Sqft,200.2,
